code,name,shortName,region,domesticNationality,developmentDefault,youthDefault,sponsorDefault,domesticPlayerBaseMin,domesticPlayerBaseMax
CMR,カメルーン,カメルーン,Africa,カメルーン,40,41,15,15,55
EGY,エジプト,エジプト,Africa,エジプト,100,100,77,15,60
GHA,ガーナ,ガーナ,Africa,ガーナ,51,41,18,15,60
MAR,モロッコ,モロッコ,Africa,モロッコ,80,60,37,15,70
NGA,ナイジェリア,ナイジェリア,Africa,ナイジェリア,62,58,18,15,60
RSA,南アフリカ,南アフリカ,Africa,南アフリカ,80,80,40,15,50
SEN,セネガル,セネガル,Africa,セネガル,48,39,24,15,60
TUN,チュニジア,チュニジア,Africa,チュニジア,80,80,34,15,55
IND,インド,インド,Central,インド,60,60,50,15,25
UZB,ウズベキスタン,ウズベキスタン,Central,ウズベキスタン,82,80,85,15,50
AUS,オーストラリア,オーストラリア,East,オーストラリア,120,100,80,15,60
CHN,中国,中国,East,中国,76,73,120,15,40
HKG,ホンコン,ホンコン,East,ホンコン,58,56,75,5,20
JPN,日本,日本,East,日本,100,100,100,20,60
KOR,韓国,韓国,East,韓国,105,108,105,20,60
AUT,オーストリア,オーストリア,Europe,オーストリア,102,78,67,20,55
BEL,ベルギー,ベルギー,Europe,ベルギー,125,115,71,20,70
BUL,ブルガリア,ブルガリア,Europe,ブルガリア,80,60,50,20,50
CRO,クロアチア,クロアチア,Europe,クロアチア,100,80,60,20,70
CZE,チェコ,チェコ,Europe,チェコ,92,78,54,20,60
DEN,デンマーク,デンマーク,Europe,デンマーク,102,92,72,20,65
ENG,イングランド,イングランド,Europe,イングランド,140,120,160,20,100
ESP,スペイン,スペイン,Europe,スペイン,140,120,150,20,100
FRA,フランス,フランス,Europe,フランス,160,140,160,20,100
GER,ドイツ,ドイツ,Europe,ドイツ,150,130,150,20,95
GRE,ギリシャ,ギリシャ,Europe,ギリシャ,103,84,68,20,55
ITA,イタリア,イタリア,Europe,イタリア,130,110,140,20,90
NED,オランダ,オランダ,Europe,オランダ,109,104,105,20,90
NOR,ノルウェー,ノルウェー,Europe,ノルウェー,99,89,65,20,65
POL,ポーランド,ポーランド,Europe,ポーランド,89,81,53,20,60
POR,ポルトガル,ポルトガル,Europe,ポルトガル,118,101,68,20,85
ROU,ルーマニア,ルーマニア,Europe,ルーマニア,100,80,60,20,55
RUS,ロシア,ロシア,Europe,ロシア,120,80,80,20,60
SCO,スコットランド,スコットランド,Europe,スコットランド,118,103,84,20,50
SRB,セルビア,セルビア,Europe,セルビア,100,80,60,20,65
SUI,スイス,スイス,Europe,スイス,102,85,76,20,60
SWE,スウェーデン,スウェーデン,Europe,スウェーデン,120,100,80,20,65
TUR,トルコ,トルコ,Europe,トルコ,96,84,87,20,60
UKR,ウクライナ,ウクライナ,Europe,ウクライナ,100,80,60,20,65
CAN,カナダ,カナダ,NorthAmerica,カナダ,91,74,24,15,55
CRC,コスタリカ,コスタリカ,NorthAmerica,コスタリカ,82,75,21,15,50
MEX,メキシコ,メキシコ,NorthAmerica,メキシコ,120,100,120,15,70
USA,アメリカ,アメリカ,NorthAmerica,アメリカ,140,100,160,15,60
ARG,アルゼンチン,アルゼンチン,SouthAmerica,アルゼンチン,120,100,60,20,90
BRA,ブラジル,ブラジル,SouthAmerica,ブラジル,120,100,80,20,95
CHI,チリ,チリ,SouthAmerica,チリ,95,82,44,20,65
COL,コロンビア,コロンビア,SouthAmerica,コロンビア,100,100,60,20,70
ECU,エクアドル,エクアドル,SouthAmerica,エクアドル,80,80,50,20,65
PAR,パラグアイ,パラグアイ,SouthAmerica,パラグアイ,100,100,60,20,60
PER,ペルー,ペルー,SouthAmerica,ペルー,80,60,60,20,60
URU,ウルグアイ,ウルグアイ,SouthAmerica,ウルグアイ,49,80,30,20,65
IDN,インドネシア,インドネシア,Southeast,インドネシア,80,60,60,15,35
MAS,マレーシア,マレーシア,Southeast,マレーシア,62,60,75,5,30
THA,タイ,タイ,Southeast,タイ,70,68,90,10,30
VIE,ベトナム,ベトナム,Southeast,ベトナム,68,66,70,5,30
BHR,バーレーン,バーレーン,West,バーレーン,66,64,85,10,40
IRN,イラン,イラン,West,イラン,98,102,90,15,60
IRQ,イラク,イラク,West,イラク,78,76,80,15,45
JOR,ヨルダン,ヨルダン,West,ヨルダン,70,68,75,15,45
KUW,クウェート,クウェート,West,クウェート,72,70,90,10,35
QAT,カタール,カタール,West,カタール,72,68,150,15,45
SAU,サウジアラビア,サウジ,West,サウジアラビア,70,65,160,15,50
UAE,UAE,UAE,West,UAE,78,75,145,10,40
