countryCode,code,name,level,promotionSlots,relegationSlots,foreignStarterLimit,foreignMatchSquadLimit,foreignAcquisitionSeasonLimit
CMR,CMR1,カメルーンMTNエリートワン,5,0,0,,5,3
EGY,EGY1,エジプト・プレミアリーグ,3,0,0,,5,3
GHA,GHA1,ガーナ・プレミアディビジョン,5,0,0,,5,3
MAR,MAR1,ボトラ・プロ2,4,0,0,,5,3
NGA,NGA1,ナイジェリア・プレミアリーグ,5,0,0,,5,3
RSA,RSA1,南アフリカ・プレミアサッカーリーグ,4,0,0,,5,3
SEN,SEN1,セネガル・リーグ1,5,0,0,,5,3
TUN,TUN1,チュニジア・リーグ3,3,0,0,,5,3
IND,IND1,インド・スーパーリーグ,6,0,0,,15,8
UZB,USL,ウズベキスタン・スーパーリーグ,4,0,2,4,5,3
UZB,UZFD,ウズベキスタン・ファーストリーグ,6,2,0,4,5,3
AUS,AUS1,Aリーグ,3,0,0,,15,8
CHN,CSL,中国スーパーリーグ,3,0,2,5,5,4
CHN,CL1,中国甲級リーグ,5,2,0,5,5,4
HKG,HPL,ホンコン・プレミアリーグ,5,0,2,4,5,3
HKG,HFD,ホンコン・ファーストディビジョン,7,2,0,4,5,3
JPN,J1,明治安田J1リーグ,3,0,3,4,5,3
JPN,J2,明治安田J2リーグ,5,3,0,4,5,3
KOR,K1,Kリーグ1,3,0,1,5,6,4
KOR,K2,Kリーグ2,5,1,0,5,6,4
AUT,AUT1,オーストリア・ブンデスリーガ,3,0,0,,10,5
BEL,BEL1,ジュピラー・プロリーグ,3,0,2,,10,5
BEL,BEL2,ベルギー・チャレンジャー・プロリーグ,5,2,0,,5,3
BUL,BUL1,ブルガリア1部リーグ,4,0,0,,10,5
CRO,CRO1,クロアチア1部リーグ,4,0,0,,10,5
CZE,CZE1,チェコ1部リーグ,3,0,0,,10,5
DEN,DEN1,デンマーク・スーペルリーガ,4,0,0,,10,5
ENG,EPL,プレミアリーグ,1,0,3,,21,10
ENG,ECH,EFLチャンピオンシップ,3,3,3,,15,7
ESP,LL,ラ・リーガ,1,0,3,,12,6
