countryCode,leagueCode,name,shortName,city,primaryColor,formation,tactic,rating,developmentPower,youthPower,sponsorPower
CMR,CMR1,コトンスポール,コトンスポール,ガルア,#2e7d32,4-3-3,バランス,41,80,60,15
CMR,CMR1,キャノン・ヤウンデ,キャノン,ヤウンデ,#2e7d32,4-2-3-1,ポゼッション,30,60,60,14
CMR,CMR1,ユニオン・ドゥアラ,ユニオン,ドゥアラ,#2e7d32,4-4-2,堅守速攻,29,20,60,18
CMR,CMR1,フォルトゥナ・ムフー,フォルトゥナ,ムフー,#2e7d32,3-5-2,ハイプレス,21,20,20,13
CMR,CMR1,バンブトスFC,バンブトス,ムブダ,#2e7d32,4-3-3,バランス,34,60,80,19
CMR,CMR1,コロンブ・スポルティーヴ,コロンブ,サンガメリマ,#2e7d32,4-2-3-1,ポゼッション,22,20,60,14
CMR,CMR1,エーグル・ロワイヤル,エーグル,ムンゴ,#2e7d32,4-4-2,堅守速攻,28,40,20,17
CMR,CMR1,ガゼルFC,ガゼル,ガルア,#2e7d32,3-5-2,ハイプレス,21,20,10,12
CMR,CMR1,フォーヴ・アジュール,フォーヴ,ヤウンデ,#2e7d32,4-3-3,バランス,26,20,20,13
CMR,CMR1,PWDバメンダ,PWD,バメンダ,#2e7d32,4-2-3-1,ポゼッション,39,60,20,18
EGY,EGY1,アル・アハリ,アル・アハリ,カイロ,#d71920,4-3-3,ハイプレス,74,160,100,153
EGY,EGY1,タラエア・エル・ガイシュ,エル・ガイシュ,カイロ,#b71c1c,4-4-2,堅守速攻,37,80,70,50
EGY,EGY1,アル・イテハド,イテハド,アレクサンドリア,#00843d,4-2-3-1,バランス,44,100,60,78
EGY,EGY1,アル・マスリ,マスリ,ポートサイド,#00843d,4-3-3,ハイプレス,55,120,60,120
EGY,EGY1,アル・モカウルーン,モカウルーン,カイロ,#f5c400,4-4-2,バランス,38,80,80,30
EGY,EGY1,セラミカ・クレオパトラ,セラミカ,ギザ,#d71920,4-2-3-1,堅守速攻,39,10,70,108
EGY,EGY1,バラディヤト・エル・マハッラ,バラディヤ,エル・マハッラ,#0057b8,4-4-2,堅守速攻,37,60,70,12
EGY,EGY1,エル・ダーハレヤ,ダーハレヤ,カイロ,#111111,4-4-2,堅守速攻,35,20,70,29
EGY,EGY1,エル・グーナ,グーナ,エル・グーナ,#f97316,4-3-3,ポゼッション,38,100,60,30
EGY,EGY1,ENPPI,ENPPI,カイロ,#0057b8,4-2-3-1,バランス,48,100,60,78
EGY,EGY1,フューチャーFC,フューチャー,カイロ,#d71920,4-2-3-1,ハイプレス,35,10,70,141
EGY,EGY1,イスマイリー,イスマイリー,イスマイリア,#f5c400,4-3-3,ポゼッション,49,120,100,60
EGY,EGY1,ナショナル・バンク,ナショナル・バンク,カイロ,#0d47a1,4-2-3-1,バランス,31,10,20,78
EGY,EGY1,ファルコ,ファルコ,アレクサンドリア,#f97316,4-4-2,堅守速攻,42,10,20,145
EGY,EGY1,ピラミッズ,ピラミッズ,カイロ,#00a3e0,4-3-3,ポゼッション,58,120,100,138
EGY,EGY1,スムーハ,スムーハ,アレクサンドリア,#0057b8,4-2-3-1,バランス,48,100,60,78
EGY,EGY1,ザマレク,ザマレク,ギザ,#ffffff,4-2-3-1,ハイプレス,48,120,80,18
EGY,EGY1,ZED FC,ZED,ギザ,#111111,4-3-3,ポゼッション,42,100,100,35
GHA,GHA1,アクラ・ライオンズ,アクラL,アクラ,#fbc02d,4-3-3,バランス,46,100,100,17
